score_1;score_2;riesgo_score1;riesgo_score2;interaccion_1;interaccion_2;monto;mala_transaccion;puntaje_1;puntaje_2;interaccion_suma;estado;cod_postal;ingreso_promedio_estado
nd;nd;1;0;0;1;50;0;5;5;10;NC;28525;53687
nd;malo;1;1;1;1;59;1;5;4;9;IL;60473;61456
nd;malo;1;1;1;1;75;0;5;4;9;SC;29642;52348
nd;malo;1;1;1;1;75;0;5;4;9;CA;90220;65895
nd;malo;1;1;1;1;75;1;5;4;9;NC;28052;53687
nd;malo;1;1;1;1;99;0;5;4;9;IN;46203;54785
nd;malo;1;1;1;1;99;0;5;4;9;AZ;85373;58462
nd;malo;1;1;1;1;99;1;5;4;9;AZ;85373;58462
nd;malo;1;1;1;1;99;1;5;4;9;CA;91730;65895
nd;malo;1;1;1;1;100;1;5;4;9;MN;55421;65514
nd;medio;1;1;1;1;50;0;5;3;8;IN;47374;54785
nd;medio;1;1;1;1;50;0;5;3;8;CA;92084;65895
nd;medio;1;1;1;1;50;0;5;3;8;CA;92563;65895
nd;medio;1;1;1;1;50;0;5;3;8;CA;92078;65895
nd;medio;1;1;1;1;59;0;5;3;8;TX;77066;55441
nd;medio;1;1;1;1;75;0;5;3;8;OH;44515;54877
nd;medio;1;1;1;1;75;0;5;3;8;FL;33872;55681
nd;medio;1;1;1;1;75;0;5;3;8;AZ;85373;58462
nd;medio;1;1;1;1;75;0;5;3;8;IL;60047;61456
nd;medio;1;1;1;1;75;0;5;3;8;UT;84003;70425
nd;medio;1;1;1;1;75;1;5;3;8;NC;28303;53687
malo;malo;1;1;1;1;99;1;4;4;8;TX;77016;55441
nd;medio;1;1;1;1;99;1;5;3;8;TX;75142;55441
nd;medio;1;1;1;1;99;1;5;3;8;CO;80247;70952
nd;medio;1;1;1;1;100;1;5;3;8;TX;76040;55441
nd;medio;1;1;1;1;100;1;5;3;8;IL;62206;61456
nd;bueno;1;0;0;1;50;0;5;2;7;IN;46016;54785
nd;bueno;1;0;0;1;50;0;5;2;7;SD;57103;54821
nd;bueno;1;0;0;1;50;0;5;2;7;IL;60453;61456
medio;malo;1;1;1;1;50;1;3;4;7;CA;92563;65895
bueno;nd;0;0;0;1;59;0;2;5;7;TX;76351;55441
malo;medio;1;1;1;1;59;0;4;3;7;MD;20874;75214
medio;malo;1;1;1;1;59;0;3;4;7;FL;33647;55681
medio;malo;1;1;1;1;59;0;3;4;7;NC;27278;53687
malo;medio;1;1;1;1;59;1;4;3;7;CA;92570;65895
nd;bueno;1;0;0;1;75;0;5;2;7;FL;34953;55681
nd;bueno;1;0;0;1;75;0;5;2;7;CA;92075;65895
nd;bueno;1;0;0;1;75;1;5;2;7;WA;98467;74398
nd;bueno;1;0;0;1;75;1;5;2;7;MD;20874;75214
nd;bueno;1;0;0;1;75;1;5;2;7;SC;29607;52348
nd;bueno;1;0;0;1;75;1;5;2;7;NC;28052;53687
medio;malo;1;1;1;1;75;1;3;4;7;TX;78638;55441
medio;malo;1;1;1;1;75;1;3;4;7;FL;33872;55681
malo;medio;1;1;1;1;75;1;4;3;7;CA;92109;65895
nd;bueno;1;0;0;1;75;1;5;2;7;CA;92109;65895
